Abbottabad Heights Road, Abbottabad, Khyber Pakhtunkhwa
Kot Fazal Shah, Mandi Bahauddin, Punjab
Kutyala Syedan, Mandi Bahauddin, Punjab
Lalazar Colony, Mandi Bahauddin, Punjab
Lila Town, Mandi Bahauddin, Punjab
Madina Town, Mandi Bahauddin, Punjab
Malakwal, Mandi Bahauddin, Punjab
Mandi Bahauddin Bypass, Mandi Bahauddin, Punjab
Manzoorabad, Mandi Bahauddin, Punjab
Model Town, Mandi Bahauddin, Punjab
Mohabbatpur Road, Mandi Bahauddin, Punjab
Mohalla Islamabad, Mandi Bahauddin, Punjab
Mohalla Mughalpura, Mandi Bahauddin, Punjab
Mohalla Sufipura, Mandi Bahauddin, Punjab
Mong, Mandi Bahauddin, Punjab
Munshi Mohalla, Mandi Bahauddin, Punjab
Murala Mandi Bahauddin Road, Mandi Bahauddin, Punjab
Muslim Housing Colony, Mandi Bahauddin, Punjab
New Rasool Road, Mandi Bahauddin, Punjab
Old Rasool Road, Mandi Bahauddin, Punjab
Others, Mandi Bahauddin, Punjab
Phalia Mandi Bahauddin Road, Mandi Bahauddin, Punjab
Pindi Bahauddin, Mandi Bahauddin, Punjab
Purani Pindi, Mandi Bahauddin, Punjab
Ranjha Town, Mandi Bahauddin, Punjab
Sarai Alamgir Road, Mandi Bahauddin, Punjab
Sargodha - Gujrat Road, Mandi Bahauddin, Punjab
Sargodha Road, Mandi Bahauddin, Punjab
Sargodha to Mandi Bahauddin Road, Mandi Bahauddin, Punjab
Shafqat Abad Road, Mandi Bahauddin, Punjab
Shahtaj Sugar Mill Road, Mandi Bahauddin, Punjab
Shalimar City, Mandi Bahauddin, Punjab
Sohawa Bolani, Mandi Bahauddin, Punjab
Sohawa Jumlani, Mandi Bahauddin, Punjab
Sufi City, Mandi Bahauddin, Punjab
Sultan Town, Mandi Bahauddin, Punjab
Usmania Mohalla, Mandi Bahauddin, Punjab
Wasu, Mandi Bahauddin, Punjab
Wasu Road, Mandi Bahauddin, Punjab
Mangla Cantt, Mangla, Punjab
Mangla Garrison Housing, Mangla, Punjab
Others, Mangla, Punjab
Lateef Bagh Housing Scheme, Mian Chunnu, Punjab
Liaquat Road, Mian Chunnu, Punjab
Mian Channu Bypass, Mian Chunnu, Punjab
Others, Mian Chunnu, Punjab
Raheem Garden, Mian Chunnu, Punjab
Shaheed Road, Mian Chunnu, Punjab
Shami Road, Mian Chunnu, Punjab
Tulamba, Mian Chunnu, Punjab
Tulamba Road, Mian Chunnu, Punjab
Ballo Khaill Road, Mianwali, Punjab
Green Town, Mianwali, Punjab
Isa Khel, Mianwali, Punjab
Iskandarabad, Mianwali, Punjab
Kalabagh, Mianwali, Punjab
Kundian City, Mianwali, Punjab
Madina Town, Mianwali, Punjab
Mohalla Khanki Khel, Mianwali, Punjab
Muslim Colony, Mianwali, Punjab
Muzaffargarh Road, Mianwali, Punjab
Others, Mianwali, Punjab
PAF Road, Mianwali, Punjab
Piplan, Mianwali, Punjab
Sargodha Road, Mianwali, Punjab
Zia Garden, Mianwali, Punjab
Others, Mitha Tiwana, Punjab
40 Feet Road, Multan, Punjab
Abbas Colony, Multan, Punjab
Abbas Pur, Multan, Punjab
Abbaspura, Multan, Punjab
Abdali Road, Multan, Punjab
Abid Colony, Multan, Punjab
Adda Bosan, Multan, Punjab
Afzal City, Multan, Punjab
Agric Town, Multan, Punjab
Ahmad Park, Multan, Punjab
Ahmad Road, Multan, Punjab
Ahmadabad, Multan, Punjab
Ahsan Colony, Multan, Punjab
Air Force Officers Housing Scheme, Multan, Punjab
Airport Road, Multan, Punjab
Akbar Road, Multan, Punjab
Akhtar Colony, Multan, Punjab
Al Falah Modern City, Multan, Punjab
Al Habib Colony, Multan, Punjab
Al Jilan Town, Multan, Punjab
Al Mustafa Colony, Multan, Punjab
Al Mustafa Road, Multan, Punjab
Al Quresh Housing Scheme, Multan, Punjab
Al Raheem Colony, Multan, Punjab
Al Rehman Colony, Multan, Punjab
Al-Falah Dubai City, Multan, Punjab
Ali Town, Multan, Punjab
Altaf Town, Multan, Punjab
Ameen Town, Multan, Punjab
Ansar Colony, Multan, Punjab
Ashraf Colony, Multan, Punjab
Askari Bypass, Multan, Punjab
Askari Colony, Multan, Punjab
Askari Colony 2, Multan, Punjab
Aurangzeb Road, Multan, Punjab
Awanpura, Multan, Punjab
Azam City, Multan, Punjab
Aziz Hotel Chowk, Multan, Punjab
Baba Safra Road, Multan, Punjab
Babar Road, Multan, Punjab
Badla Town, Multan, Punjab
Bahadurpur, Multan, Punjab
Bahawalpur Road, Multan, Punjab
Bahawalpur Sukha Road, Multan, Punjab
Bakar Mandi, Multan, Punjab
Ban Bazar, Multan, Punjab
Band Bosan, Multan, Punjab
Banjal Wala, Multan, Punjab
Basti Allah Bakhsh, Multan, Punjab
Basti Hafizabad, Multan, Punjab
Basti Kayaan Pur, Multan, Punjab
Basti Langrial, Multan, Punjab
Basti Malook, Multan, Punjab
Basti Mehmood Abad, Multan, Punjab
Basti Nau, Multan, Punjab
Basti Okar, Multan, Punjab
Behani, Multan, Punjab
Bhutta Colony, Multan, Punjab
Bhutta Colony No 2, Multan, Punjab
Bilal Chowk, Multan, Punjab
Bilal Colony, Multan, Punjab
Billi Wala, Multan, Punjab
Bodla Town, Multan, Punjab
Bosan Road, Multan, Punjab
Bosan Town, Multan, Punjab
Buch Executive Villas, Multan, Punjab
Budhla Sannat, Multan, Punjab
Budhla Sant Road, Multan, Punjab
Budla Road, Multan, Punjab
Bukhari Colony, Multan, Punjab
Bulandwala, Multan, Punjab
BZU Colony, Multan, Punjab
BZU Employers Colony, Multan, Punjab
BZU Road, Multan, Punjab
Canal Bank Road, Multan, Punjab
Canal Cantt View Housing Society, Multan, Punjab
Canal Cantt Villas, Multan, Punjab
Canal Road, Multan, Punjab
Cantt, Multan, Punjab
Cantt Avenue, Multan, Punjab
Cantt Cottages, Multan, Punjab
Chah Boharwala, Multan, Punjab
Chah Daad Wala, Multan, Punjab
Chah Hafiz Wala, Multan, Punjab
Chah Hanjeeran Wala, Multan, Punjab
Chah Jaffar Wala, Multan, Punjab
Chah Kothi Wala, Multan, Punjab
Chah Lasoori Wala, Multan, Punjab
Chah Nizam Wala, Multan, Punjab
Chak Makhni, Multan, Punjab
Chak RS, Multan, Punjab
Chanan Pir Chowk, Multan, Punjab
Chenab Boulevard, Multan, Punjab
China Town, Multan, Punjab
Chowk Fawara, Multan, Punjab
Chowk Khuni Burj, Multan, Punjab
Chowk Kumharanwala, Multan, Punjab
Chowk Nagshah, Multan, Punjab
Chungi No 1, Multan, Punjab
Chungi No 14, Multan, Punjab
Chungi No 22, Multan, Punjab
Chungi No 6, Multan, Punjab
Chungi No 7, Multan, Punjab
Chungi No 8, Multan, Punjab
Chungi No 9, Multan, Punjab
Circuit House Colony, Multan, Punjab
Citi Housing, Multan, Punjab
Club Road, Multan, Punjab
Crystal Homes, Multan, Punjab
D Market, Multan, Punjab
Daulat Gate, Multan, Punjab
Defence Officer Colony, Multan, Punjab
Delhi Gate Multan, Multan, Punjab
Dera Adda, Multan, Punjab
DHA Defence, Multan, Punjab
Dhumra, Multan, Punjab
Double Phatak Chowk, Multan, Punjab
Dunya Pur Road, Multan, Punjab
Eastern Housing, Multan, Punjab
Eidgah Road, Multan, Punjab
Faiz Town, Multan, Punjab
Farid Town, Multan, Punjab
Farooq-e-Azam Road, Multan, Punjab
Farooqpura, Multan, Punjab
Fatima Jinnah Town, Multan, Punjab
Fazaia Town, Multan, Punjab
Fida Avenue, Multan, Punjab
Fort Avenue, Multan, Punjab
Fort Colony, Multan, Punjab
Furrukh Town, Multan, Punjab
Galaxy Town, Multan, Punjab
Garden Citi, Multan, Punjab
Garden Town, Multan, Punjab
Gardezi Colony, Multan, Punjab
Gareebabad, Multan, Punjab
Gawala Colony, Multan, Punjab
Ghanta Ghar Chowk, Multan, Punjab
Ghareeb Abad, Multan, Punjab
Gharyala Wala, Multan, Punjab
Ghaus ul Azam Road, Multan, Punjab
Ghouspura, Multan, Punjab
Gillani Colony, Multan, Punjab
Gol Bagh Chowk, Multan, Punjab
Grace Gardens, Multan, Punjab
Green Fort Housing Scheme, Multan, Punjab
Green Fort Plus, Multan, Punjab
Green Hearts Colony, Multan, Punjab
Green Homes, Multan, Punjab
Green Huts, Multan, Punjab
Green View Colony, Multan, Punjab
Gulberg Colony, Multan, Punjab
Gulgasht Colony, Multan, Punjab
Gulistan Chowk, Multan, Punjab
Gulistan Colony, Multan, Punjab
Gulistan Housing Scheme, Multan, Punjab
Gulistan-e-Ali Housing Scheme, Multan, Punjab
Gulistan-e-Zuhra, Multan, Punjab
Gulraiz Town, Multan, Punjab
Gulshan Market, Multan, Punjab
Gulshan-e-Bashir, Multan, Punjab
Gulshan-e-Faiz, Multan, Punjab
Gulshan-E-Farooq Pura, Multan, Punjab
Gulshan-e-Ghafoor, Multan, Punjab
Gulshan-e-Iqbal, Multan, Punjab
Gulshan-e-Madina, Multan, Punjab
Gulshan-e-Mehar, Multan, Punjab
Gulshan-e-Rehman, Multan, Punjab
Gulshan-e-Toheed, Multan, Punjab
Gulshan-e-Wahid, Multan, Punjab
Gulshan-e-Yousaf, Multan, Punjab
Hafiz Jamal Road, Multan, Punjab
Haideria Road, Multan, Punjab
Haiderpura, Multan, Punjab
Hamayun Road, Multan, Punjab
Hamid Pur Kanora, Multan, Punjab
Hamidpur, Multan, Punjab
Hans Road, Multan, Punjab
Haram Gate, Multan, Punjab
Hassan Parwana Colony, Multan, Punjab
Hassanabad Colony, Multan, Punjab
Hayat Town, Multan, Punjab
Hazoori Bagh Road, Multan, Punjab
Head Muhammad Wala, Multan, Punjab
Hussain Agahi Bazar, Multan, Punjab
Hussain Agahi Road, Multan, Punjab
Ibrahim Livena, Multan, Punjab
Ibrahim Town, Multan, Punjab
Icon Villas, Multan, Punjab
Income Tax Officers Colony, Multan, Punjab
Industrial Estate, Multan, Punjab
Iqra Town, Multan, Punjab
Islampura, Multan, Punjab
Ismailabad, Multan, Punjab
Jaffria Bazar, Multan, Punjab
Jahangirabad, Multan, Punjab
Jail Road, Multan, Punjab
Jakharpur, Multan, Punjab
Jalalpur Pirwala, Multan, Punjab
Jalilabad, Multan, Punjab
Jamalpura, Multan, Punjab
Jamilabad, Multan, Punjab
Jamilabad Housing Scheme, Multan, Punjab
Jamilabad Road, Multan, Punjab
Jan Mohammad Colony, Multan, Punjab
Jhag Jamali, Multan, Punjab
Jhaka Pur, Multan, Punjab
Jinnah Town, Multan, Punjab
Johar Town, Multan, Punjab
Justic Colony, Multan, Punjab
Justic Hamid Colony, Multan, Punjab
Kacheri Road, Multan, Punjab
Kaswar Gardezi Road, Multan, Punjab
Katchery Chowk, Multan, Punjab
Khan Center, Multan, Punjab
Khan Colony, Multan, Punjab
Khan Village, Multan, Punjab
Khan Village II, Multan, Punjab
Khanewal Road, Multan, Punjab
Khawaja Farid Colony, Multan, Punjab
Khayaban-e-Kubra, Multan, Punjab
Khotay Wala, Multan, Punjab
Kiri Jamandan, Multan, Punjab
Kotal Meharam, Multan, Punjab
La Salle Colony, Multan, Punjab
Lahore Motorway, Multan, Punjab
Lalazar Colony, Multan, Punjab
Larr, Multan, Punjab
Lasani Colony, Multan, Punjab
Liaquatabad, Multan, Punjab
LMQ Road, Multan, Punjab
Lodhi Colony, Multan, Punjab
Lodhi Colony Road, Multan, Punjab
Lodhran Road, Multan, Punjab
Loha Market, Multan, Punjab
Lohari Gate Multan, Multan, Punjab
Lother, Multan, Punjab
Lutafabad, Multan, Punjab
MA Jinnah Road, Multan, Punjab
Madina Town, Multan, Punjab
Mall Plaza, Multan, Punjab
Mall Road, Multan, Punjab
Manzoorabad, Multan, Punjab
Masoom Shah Road, Multan, Punjab
Mattital Road, Multan, Punjab
MDA Chowk, Multan, Punjab
MDA Co-operative Housing Scheme, Multan, Punjab
MDA Officers Colony, Multan, Punjab
MDA Road, Multan, Punjab
Mehdi Pur Road, Multan, Punjab
Meherban Colony, Multan, Punjab
MEO Colony, Multan, Punjab
MEPCO Colony, Multan, Punjab
Metro Plaza, Multan, Punjab
Mid Land Avenue, Multan, Punjab
Model Town, Multan, Punjab
Mohalla Ishaq Pura, Multan, Punjab
Mohalla Kotla Toley Khan, Multan, Punjab
Mohalla Qadirabad, Multan, Punjab
Moza Nigana Durana, Multan, Punjab
Mujahid City, Multan, Punjab
Mujahid Town, Multan, Punjab
Mujtaba Canal View, Multan, Punjab
Mukhtar Town, Multan, Punjab
Multan Bypass, Multan, Punjab
Multan Canyon, Multan, Punjab
Multan Expressway, Multan, Punjab
Multan Industrial Estate Link Road, Multan, Punjab
Multan Public School Road, Multan, Punjab
Multani Wala, Multan, Punjab
Mumtazabad, Multan, Punjab
Musa Park, Multan, Punjab
Muzafarabad, Multan, Punjab
Muzaffargarh Road, Multan, Punjab
N Gulgasht Boulevard, Multan, Punjab
Nag Shah, Multan, Punjab
Naka Chowk, Multan, Punjab
Naqshband Colony, Multan, Punjab
Nasheman Colony, Multan, Punjab
National Highway 5, Multan, Punjab
Naubpur Road, Multan, Punjab
Nawa Shehar, Multan, Punjab
Nawab Pur, Multan, Punjab
Nawabpur Road, Multan, Punjab
Nayab City, Multan, Punjab
Nazimabad, Multan, Punjab
Nazir Colony, Multan, Punjab
Nehar Naubahar Road, Multan, Punjab
New Ghalla Mandi, Multan, Punjab
New Multan, Multan, Punjab
New Shah Shams Colony, Multan, Punjab
New Shalimar Colony, Multan, Punjab
New Town, Multan, Punjab
Niaz Town, Multan, Punjab
Nishtar Chowk, Multan, Punjab
Nishtar Road, Multan, Punjab
Noor-e-Islam Colony, Multan, Punjab
North Gulgasht, Multan, Punjab
Northern Bypass, Multan, Punjab
Nusrat Road, Multan, Punjab
Officers Canal Colony, Multan, Punjab
Officers Colony, Multan, Punjab
Officers Town, Multan, Punjab
Old Shujabad Road, Multan, Punjab
Others, Multan, Punjab
Pace City, Multan, Punjab
Pak Arab Fertilizer Housing Colony, Multan, Punjab
Pak Gate, Multan, Punjab
Pearl City, Multan, Punjab
Peer Colony, Multan, Punjab
Peer Khurshed Colony, Multan, Punjab
Peoples Colony, Multan, Punjab
PGSHF, Multan, Punjab
Pia Colony, Multan, Punjab
PIA Employees Housing Society, Multan, Punjab
Piran Ghaib, Multan, Punjab
Piran Ghaib Road, Multan, Punjab
Police Lines 1, Multan, Punjab
Prime Villas, Multan, Punjab
PSIC Employees Housing Scheme, Multan, Punjab
PTCL Colony, Multan, Punjab
Punjab Small Industries, Multan, Punjab
Purana Shujabad Road, Multan, Punjab
Qadirpur Ran, Multan, Punjab
Qaiserabad, Multan, Punjab
Qasim Bela, Multan, Punjab
Qasim Road, Multan, Punjab
Qasim Villas, Multan, Punjab
Qasimpur Colony, Multan, Punjab
Quaid-e-Azam Cooperative Housing Socity, Multan, Punjab
Railway Officers Bungalows, Multan, Punjab
Ram Kali, Multan, Punjab
Rana Homes, Multan, Punjab
Rasheed Avenue, Multan, Punjab
Rasheedabad, Multan, Punjab
Rashid Minhas Road, Multan, Punjab
Raza Abad, Multan, Punjab
Raza Town, Multan, Punjab
Rehmat Town, Multan, Punjab
Royal Residency, Multan, Punjab
Sabzazar Colony, Multan, Punjab
Sabzi Mandi, Multan, Punjab
Sabzwari Town, Multan, Punjab
Sadarpur, Multan, Punjab
Sadat Colony, Multan, Punjab
Saddar, Multan, Punjab
Saddar Bazar, Multan, Punjab
Saddiqia Road, Multan, Punjab
Sadiq Colony, Multan, Punjab
Sadiqabad, Multan, Punjab
Sahara Homes, Multan, Punjab
Sakhi Sultan Colony, Multan, Punjab
Saleemabad, Multan, Punjab
Samanabad Colony, Multan, Punjab
Samar Mubarak Road, Multan, Punjab
Sameeja Abad, Multan, Punjab
Sarwar Town, Multan, Punjab
Satellite Town, Multan, Punjab
Sayyam City, Multan, Punjab
Sayyam Officers City, Multan, Punjab
Setal Mari, Multan, Punjab
Sewara Chowk, Multan, Punjab
Shadab Colony, Multan, Punjab
Shadman Colony, Multan, Punjab
Shah Khuram Colony, Multan, Punjab
Shah Rukn-e-Alam Colony, Multan, Punjab
Shah Town, Multan, Punjab
Shahidpur, Multan, Punjab
Shahzad Colony, Multan, Punjab
Shalimar Colony, Multan, Punjab
Shamasabad Colony, Multan, Punjab
Sharifpura, Multan, Punjab
Sher Shah Road, Multan, Punjab
Shershah, Multan, Punjab
Shershah Town, Multan, Punjab
Shujabad, Multan, Punjab
Shujabad Road, Multan, Punjab
Siddiqia Road, Multan, Punjab
Sikanderabad, Multan, Punjab
Silver City, Multan, Punjab
Southern Bypass, Multan, Punjab
St. Merry Road, Multan, Punjab
Stadium Road, Multan, Punjab
Sui Gas Road, Multan, Punjab
Sunshine Housing, Multan, Punjab
Suraj Kund Road, Multan, Punjab
Suraj Miani, Multan, Punjab
Suraj Miani Road, Multan, Punjab
T. B Hospital Road, Multan, Punjab
Tahir Colony, Multan, Punjab
Tariq Abad, Multan, Punjab
Tariq Road, Multan, Punjab
Tariqabad, Multan, Punjab
Tatay pur, Multan, Punjab
Tawakal Town, Multan, Punjab
Tehsil Chowk, Multan, Punjab
Thana Chowk, Multan, Punjab
Tibba Masoodpur, Multan, Punjab
Timber Market, Multan, Punjab
Tipu Sultan Road, Multan, Punjab
Tughlaq Town, Multan, Punjab
Umarpur, Multan, Punjab
United Mall, Multan, Punjab
Univesity Road, Multan, Punjab
Usman Colony, Multan, Punjab
Usman-e-Ghani Road, Multan, Punjab
Vehari Chowk, Multan, Punjab
Vehari Road, Multan, Punjab
Wahdat Colony, Multan, Punjab
Walayatabad, Multan, Punjab
Walled City, Multan, Punjab
Wapda Colony, Multan, Punjab
Wapda Town, Multan, Punjab
Waqas Town, Multan, Punjab
Western Fort Colony, Multan, Punjab
Writer Colony, Multan, Punjab
Zaid Town, Multan, Punjab
Zainpur, Multan, Punjab
Zakariya Town, Multan, Punjab
Zubair Colony, Multan, Punjab
Canal Road, Muridike, Punjab
Galla Mandi, Muridike, Punjab
GT Road, Muridike, Punjab
Gulshan-e-Zafar Colony, Muridike, Punjab
Jay Singh Wala, Muridike, Punjab
Malkan Wala Bazar, Muridike, Punjab
Model City, Muridike, Punjab
Mohalla Iqbal Park, Muridike, Punjab
Muridke - Sheikhupura Road, Muridike, Punjab
Narowal - Muridike Road, Muridike, Punjab
Others, Muridike, Punjab
Purana Narang Road, Muridike, Punjab
Sadhoke, Muridike, Punjab
Abbasi Mohalla, Murree, Punjab
Abbottabad Road, Murree, Punjab
Angoori Road, Murree, Punjab
Ayubia Road, Murree, Punjab
Bagh-e-Shahidan, Murree, Punjab
Bank Road, Murree, Punjab
Bansra Gali, Murree, Punjab
Barrian, Murree, Punjab
Bhurban, Murree, Punjab
Bhurban Enclave, Murree, Punjab
Bhurban Meadows, Murree, Punjab
Cecil Resorts, Murree, Punjab
Company Bagh, Murree, Punjab
Cuart Road, Murree, Punjab
Darya Gali, Murree, Punjab
Gharial Camp, Murree, Punjab
Ghora Gali, Murree, Punjab
GPO Chowk, Murree, Punjab
Grand Hills, Murree, Punjab
Green City, Murree, Punjab
Green Hills Enclave, Murree, Punjab
Green Hills Resorts, Murree, Punjab
Hall Road, Murree, Punjab
Heaven Heights, Murree, Punjab
Hill View Cottages, Murree, Punjab
Ihata Noor Khan, Murree, Punjab
Infinite View Resorts & Villas, Murree, Punjab
Jhika Gali, Murree, Punjab
Jinnah Road, Murree, Punjab
Kashmir Point, Murree, Punjab
Kashmir Road, Murree, Punjab
Kashmiri Mohalla, Murree, Punjab
Khajut, Murree, Punjab
Kuldana Road, Murree, Punjab
Kundan Bazar, Murree, Punjab
Lawrence College Road, Murree, Punjab
Lower Bazar Road, Murree, Punjab
Lower Jhika Gali Road, Murree, Punjab
Lower Topa - Kohala Road, Murree, Punjab
Lower Topa - Murree Road, Murree, Punjab
Mall Road, Murree, Punjab
Mall View Garden, Murree, Punjab
Mountain View, Murree, Punjab
Murree Bypass, Murree, Punjab
Murree Cantonment, Murree, Punjab
Murree City, Murree, Punjab
Murree Expressway, Murree, Punjab
Murree Improvement Trust Colony, Murree, Punjab
Murree Resorts, Murree, Punjab
Musyari, Murree, Punjab
New Murree, Murree, Punjab
Others, Murree, Punjab
Phagwari, Murree, Punjab
Pindi Point, Murree, Punjab
Pine Tree Valley, Murree, Punjab
Sungsiri, Murree, Punjab
Upper Jhika Gali Road, Murree, Punjab
Valley View Residency, Murree, Punjab
Viewforth Road, Murree, Punjab
Wapda Colony, Murree, Punjab
Bypass Road, Muzaffargarh, Punjab
Chowk Munda, Muzaffargarh, Punjab
Chowk Munda - Rangpur Road, Muzaffargarh, Punjab
Chowk Sarwar Shaheed, Muzaffargarh, Punjab
Committee Chowk, Muzaffargarh, Punjab
DG Khan Road, Muzaffargarh, Punjab
Jhang Road, Muzaffargarh, Punjab
MM Road, Muzaffargarh, Punjab
Others, Muzaffargarh, Punjab
Basti Jogiaan, Nankana Sahib, Punjab
Buchey Ki Road, Nankana Sahib, Punjab
Canada Colony, Nankana Sahib, Punjab
Dhoor Kot, Nankana Sahib, Punjab
Ghousia Colony, Nankana Sahib, Punjab
Jaranwala Road, Nankana Sahib, Punjab
Kot Hira Das, Nankana Sahib, Punjab
Kot Nihal Das, Nankana Sahib, Punjab
Maliwala, Nankana Sahib, Punjab
Mananwala Bypass, Nankana Sahib, Punjab
Mandi Faizabad, Nankana Sahib, Punjab
Mangtanwala Road, Nankana Sahib, Punjab
Mohalla Kiara Sahib, Nankana Sahib, Punjab
Nankana Sahib Bypass, Nankana Sahib, Punjab
New Nankana Sahib City, Nankana Sahib, Punjab
Others, Nankana Sahib, Punjab
Purana Nankana Sahib, Nankana Sahib, Punjab
Railway Road, Nankana Sahib, Punjab
Shad Bagh Colony, Nankana Sahib, Punjab
Shahkot Road, Nankana Sahib, Punjab
Shingi Kot, Nankana Sahib, Punjab
Behbalwali, Narowal, Punjab
Chandowal Kalan, Narowal, Punjab
Circular Road, Narowal, Punjab
College Road, Narowal, Punjab
Eidgah Road, Narowal, Punjab
Ghaziwal Colony, Narowal, Punjab
Judicial Complex Narowal, Narowal, Punjab
Mahianwala, Narowal, Punjab
Mohalla Bralvi, Narowal, Punjab
Mohalla Ganj Hussainabad, Narowal, Punjab
Mohalla Islampura, Narowal, Punjab
Mohalla Rahmanpura, Narowal, Punjab
Others, Narowal, Punjab
Pasrur Road, Narowal, Punjab
Raib, Narowal, Punjab
Ransinwal, Narowal, Punjab
Saddiqpura, Narowal, Punjab
Shakarghar Road, Narowal, Punjab
Zafarwal Road, Narowal, Punjab
2/4-L Road, Okara, Punjab
Aamer Colony, Okara, Punjab
Abdullah Block, Okara, Punjab
Afshan Block, Okara, Punjab
Afzal Block, Okara, Punjab
Akbar Road, Okara, Punjab
Akhtar Abad, Okara, Punjab
Al Kheer City, Okara, Punjab
Al Qadoos Town, Okara, Punjab
Al Rehman Town, Okara, Punjab
Al-Ameen Town, Okara, Punjab
Al-Murad Block, Okara, Punjab
Al-Raheem City, Okara, Punjab
Al-Rehman City, Okara, Punjab
Ali Orchard, Okara, Punjab
Allah Daad Colony, Okara, Punjab
Allama Iqbal Avenue, Okara, Punjab
Allama Iqbal Road, Okara, Punjab
Ameer Colony, Okara, Punjab
Anwar Block, Okara, Punjab
Aqsa Town, Okara, Punjab
Ayub Park, Okara, Punjab
Azhar Residences, Okara, Punjab
Aziz Yaqoob Town, Okara, Punjab
Bajwa Colony, Okara, Punjab
Bari Town, Okara, Punjab
Basit Town, Okara, Punjab
Basti Baba Mehardin, Okara, Punjab
Benazir Road, Okara, Punjab
Block A, Okara, Punjab
Block B, Okara, Punjab
Block C, Okara, Punjab
Block D, Okara, Punjab
Block F, Okara, Punjab
Canal Road, Okara, Punjab
Canal View, Okara, Punjab
Cantt, Okara, Punjab
Chak 6/4-L, Okara, Punjab
Chak No 32/4-L, Okara, Punjab
Chamra Mandi Road, Okara, Punjab
Church Road, Okara, Punjab
Crown City, Okara, Punjab
Dar-ul-Ehsan, Okara, Punjab
Depalpur Road, Okara, Punjab
Depalpur Shergarh Road, Okara, Punjab
Faisal Colony, Okara, Punjab
Faisalabad Road, Okara, Punjab
Fateh Town, Okara, Punjab
Fawad Villas, Okara, Punjab
Garden Town, Okara, Punjab
Gol Chowk, Okara, Punjab
Government Colony, Okara, Punjab
Green City, Okara, Punjab
GT Road, Okara, Punjab
Gulberg City, Okara, Punjab
Gulshan Colony, Okara, Punjab
Gulshan Fatima, Okara, Punjab
Habibabad, Okara, Punjab
Haider Town, Okara, Punjab
Haroon Town, Okara, Punjab
Hassan Block, Okara, Punjab
Ilyas Park, Okara, Punjab
Imran Akram Villas, Okara, Punjab
Iqbal Nagar, Okara, Punjab
Ittifaq Colony, Okara, Punjab
Jalal Kot, Okara, Punjab
Javed Town, Okara, Punjab
Jawad Avenue, Okara, Punjab
Karem Town, Okara, Punjab
Karmanwala Town, Okara, Punjab
Khan Colony Road, Okara, Punjab
Makkah Madina Town 1, Okara, Punjab
Model Cooperative Housing Society, Okara, Punjab
Model Town, Okara, Punjab
Mohammad Ali Jinnah Road, Okara, Punjab
Multan Road, Okara, Punjab
Municipal Colony, Okara, Punjab
Naseem Fatima Colony, Okara, Punjab
New Society Homes, Okara, Punjab
Noor Garden, Okara, Punjab
Okara Bypass Road, Okara, Punjab
Okara Road, Okara, Punjab
Okara Samundri Faisalabad Road, Okara, Punjab
One 4-L Road, Okara, Punjab
Others, Okara, Punjab
Qadir Colony, Okara, Punjab
Rahim Karim Town, Okara, Punjab
Ravi Road, Okara, Punjab
Rehmat Pura, Okara, Punjab
Rehmat Ullah Town, Okara, Punjab
Saad City, Okara, Punjab
Sabir Piya Town, Okara, Punjab
Safdar Ghafor Town, Okara, Punjab
Samadpura Road, Okara, Punjab
Shah Din Road, Okara, Punjab
Shalimar Town, Okara, Punjab
Sheikh Basti, Okara, Punjab
Sindhi Mohalla, Okara, Punjab
Sirki Mohalla Road, Okara, Punjab
Stadium Road, Okara, Punjab
Sukh Chain Town, Okara, Punjab
Tariq Gardens, Okara, Punjab
Tehsil Road, Okara, Punjab
Umer Din Town, Okara, Punjab
Umerabad, Okara, Punjab
Usman Block, Okara, Punjab
Waris Colony, Okara, Punjab
Canal Colony, Pakpattan, Punjab
Chaudhery Wajid Ali Khan Road, Pakpattan, Punjab
Circular Road, Pakpattan, Punjab
College Road, Pakpattan, Punjab
Dargah Bazar Road, Pakpattan, Punjab
Fareed Nagar Road, Pakpattan, Punjab
Green Town, Pakpattan, Punjab
Gulshan Farid Colony, Pakpattan, Punjab
Haq Peer, Pakpattan, Punjab
Hospital Road, Pakpattan, Punjab
Mnadi Road, Pakpattan, Punjab
Others, Pakpattan, Punjab
Pakpattan Bypass, Pakpattan, Punjab
Pakpattan Sahiwal Road, Pakpattan, Punjab
Peer Ghani Road, Pakpattan, Punjab
Pine Valley, Pakpattan, Punjab
Sahiwal Road, Pakpattan, Punjab
Thana Road, Pakpattan, Punjab
Cantt, Pasrur, Punjab
Chawinda Road, Pasrur, Punjab
Daska Road, Pasrur, Punjab
Others, Pasrur, Punjab
White Citi, Pasrur, Punjab
Khayaban-e-Yousaf Housing Scheme, Pattoki, Punjab
London City, Pattoki, Punjab
Multan Road, Pattoki, Punjab
Others, Pattoki, Punjab
Haranpur, Pind Dadan Khan, Punjab
Kot Kalan, Pind Dadan Khan, Punjab
Lilla Road, Pind Dadan Khan, Punjab
Mohalla Tailian, Pind Dadan Khan, Punjab
Others, Pind Dadan Khan, Punjab
Qazian Wala, Pind Dadan Khan, Punjab
Sodhi Gujjar Road, Pind Dadan Khan, Punjab
Chiniot - Pindi Bhattian Road, Pindi Bhattian, Punjab
Hamza Town, Pindi Bhattian, Punjab
Lahore Road, Pindi Bhattian, Punjab
